freeway,direction,lane_type,flow,occupancy,region,temperature,windspeed,weathercode,incident_type,severity,speed
80,S,OR,164,0.015,San Jose,16.5,1.1,1,none,low,11.5
80,W,FR,118,0.027,Oakland,24.9,8.9,2,congestion,medium,72.6
101,W,HOV,126,0.13,Oakland,27.5,7.0,1,roadwork,low,31.9
80,N,ML,354,0.251,San Jose,12.7,2.9,1,accident,high,40.6
880,W,FR,385,0.226,Oakland,23.9,5.8,3,congestion,low,43.7
680,E,OR,119,0.291,Fremont,19.2,18.5,3,none,none,30.5
680,W,OR,463,0.092,San Jose,15.4,19.9,1,accident,low,24.9
80,E,OR,334,0.04,San Jose,11.9,4.7,4,congestion,medium,12.4
280,W,OR,234,0.193,Fremont,26.5,8.5,2,none,low,11.2
680,E,FR,192,0.276,San Jose,27.7,8.1,4,none,medium,12.2
680,S,FR,241,0.03,San Francisco,19.6,3.5,3,none,high,38.6
880,E,OR,112,0.15,Fremont,25.5,6.8,3,none,high,30.6
101,E,HOV,381,0.285,San Francisco,23.6,2.4,5,roadwork,low,54.8
280,S,ML,103,0.298,Fremont,14.0,4.9,3,congestion,medium,71.5
101,W,FR,84,0.169,Oakland,24.3,1.1,1,none,medium,20.9
80,E,ML,445,0.126,Oakland,21.2,1.1,0,accident,low,14.1
80,E,HOV,459,0.177,Fremont,15.8,0.7,3,congestion,low,44.5
101,S,OR,433,0.254,Oakland,10.0,11.7,3,accident,medium,73.2
880,W,ML,375,0.197,Fremont,29.1,2.8,2,roadwork,high,14.0
280,S,HOV,123,0.015,San Jose,19.2,14.3,4,accident,none,54.0
80,E,HOV,202,0.101,San Jose,20.1,16.9,3,none,low,70.9
280,S,OR,434,0.026,Fremont,26.6,16.1,3,accident,low,56.2
101,S,ML,273,0.117,Fremont,29.3,2.9,4,accident,medium,27.9
880,S,FR,480,0.084,San Jose,18.3,12.6,5,roadwork,low,26.7
80,W,HOV,442,0.083,Oakland,23.8,6.1,4,congestion,none,35.9
280,N,FR,282,0.079,Fremont,22.7,1.6,1,roadwork,none,57.0
680,W,ML,160,0.217,San Jose,17.9,1.3,5,accident,low,16.4
680,W,OR,456,0.21,San Jose,15.6,10.8,1,none,none,15.4
101,S,OR,224,0.211,Oakland,22.9,3.5,3,accident,none,68.2
680,S,FR,254,0.183,San Francisco,24.1,9.5,4,congestion,medium,50.6
680,E,FR,480,0.172,San Francisco,22.9,9.8,3,congestion,high,50.3
101,W,FR,188,0.058,San Francisco,24.9,17.3,5,roadwork,low,32.3
101,W,FR,379,0.3,Fremont,29.2,13.2,5,congestion,none,41.2
680,N,FR,453,0.128,San Jose,16.4,14.1,3,accident,none,34.0
880,S,HOV,165,0.22,Oakland,21.5,19.6,0,roadwork,none,68.8
880,N,OR,439,0.297,San Jose,11.3,18.7,5,roadwork,none,12.0
880,S,HOV,156,0.128,San Francisco,20.0,14.1,5,none,high,29.4
80,S,FR,392,0.292,Fremont,20.8,19.6,3,none,none,41.9
80,W,OR,475,0.054,San Francisco,15.6,0.7,1,congestion,none,74.4
280,N,HOV,395,0.034,San Jose,16.3,4.7,4,congestion,low,71.6
680,E,ML,154,0.244,Fremont,10.3,19.1,3,accident,high,66.4
80,S,OR,460,0.165,Oakland,28.5,0.8,4,roadwork,none,15.7
680,W,ML,165,0.221,San Jose,16.2,10.7,4,accident,low,58.8
880,S,FR,165,0.129,Oakland,14.4,16.6,2,congestion,high,60.0
101,W,ML,106,0.225,Oakland,18.0,6.8,5,congestion,low,15.1
280,W,ML,265,0.234,Fremont,18.9,11.0,2,none,none,51.8
101,E,ML,432,0.271,Fremont,22.6,13.8,3,none,medium,65.2
101,N,FR,259,0.286,Oakland,21.7,7.0,0,congestion,none,73.5
280,N,OR,314,0.051,San Francisco,22.5,17.2,4,congestion,high,18.2
680,E,FR,88,0.179,Fremont,28.8,15.8,0,roadwork,none,71.3
280,E,ML,366,0.252,Fremont,28.7,6.6,4,accident,medium,51.0
680,N,OR,36,0.177,San Francisco,12.3,18.3,0,congestion,low,29.4
680,S,OR,461,0.104,San Francisco,18.7,13.3,5,roadwork,medium,35.8
680,W,HOV,175,0.251,San Francisco,10.7,6.1,5,congestion,medium,62.7
80,W,HOV,302,0.096,Oakland,20.2,2.2,4,accident,none,20.7
101,E,HOV,438,0.031,San Jose,15.4,2.5,0,none,medium,33.8
880,N,OR,237,0.048,Fremont,13.4,3.3,5,roadwork,high,73.6
80,E,ML,22,0.041,Fremont,17.1,8.3,2,congestion,low,52.0
280,S,OR,487,0.299,Fremont,14.2,19.2,3,congestion,medium,55.2
880,N,ML,427,0.241,Fremont,17.6,6.4,5,congestion,medium,69.4
80,N,FR,143,0.063,San Francisco,22.9,19.5,2,none,none,47.7
280,S,FR,443,0.082,Fremont,29.4,3.1,3,congestion,low,36.2
101,S,ML,488,0.108,San Jose,23.7,3.6,4,none,high,52.1
680,W,FR,476,0.107,San Jose,18.0,18.2,2,none,medium,35.9
101,S,ML,282,0.245,Fremont,10.2,6.5,3,none,none,61.4
101,N,HOV,344,0.115,Oakland,16.5,1.3,2,roadwork,high,28.4
880,E,OR,143,0.279,Fremont,10.6,5.2,2,none,high,36.9
80,E,HOV,331,0.185,San Francisco,23.9,9.7,3,none,none,58.5
880,E,HOV,298,0.184,San Francisco,21.7,7.3,3,accident,high,31.2
880,N,FR,74,0.182,San Jose,27.1,0.8,5,accident,medium,15.9
680,S,HOV,398,0.184,Oakland,10.9,3.7,4,none,medium,69.1
880,W,HOV,456,0.016,San Francisco,14.1,3.2,2,accident,medium,33.7
680,W,OR,183,0.293,San Francisco,13.8,15.2,5,roadwork,low,63.7
80,W,OR,49,0.119,Oakland,28.1,6.8,2,accident,medium,20.8
280,E,FR,203,0.28,Fremont,10.1,12.2,1,congestion,none,71.2
80,N,FR,362,0.062,San Jose,16.8,9.7,2,congestion,high,60.5
101,N,OR,490,0.063,San Jose,19.4,15.2,5,roadwork,low,45.1
80,N,HOV,423,0.13,Fremont,25.0,1.9,3,congestion,high,70.2
80,W,ML,57,0.273,San Francisco,16.7,0.9,3,accident,low,74.6
280,E,OR,224,0.263,Fremont,13.6,7.6,4,accident,low,71.3
880,E,ML,73,0.145,Fremont,10.6,9.4,5,roadwork,medium,50.3
101,W,ML,283,0.01,San Francisco,27.0,16.6,1,accident,none,21.6
280,N,ML,317,0.114,Oakland,14.4,8.3,0,none,high,72.7
880,E,HOV,463,0.117,Oakland,15.7,6.4,1,roadwork,high,37.5
101,E,OR,440,0.284,San Francisco,19.1,0.5,0,accident,medium,60.7
880,W,HOV,347,0.275,Oakland,23.9,7.9,1,congestion,medium,53.7
280,E,OR,345,0.154,Fremont,15.5,1.4,1,accident,low,52.1
880,E,HOV,69,0.085,Fremont,24.8,3.1,2,accident,high,40.2
880,W,FR,448,0.179,Fremont,26.6,17.2,2,roadwork,medium,12.6
880,W,FR,250,0.025,San Jose,18.9,3.5,0,none,high,24.9
880,E,FR,399,0.128,San Francisco,14.4,9.8,0,congestion,medium,36.5
101,E,FR,391,0.269,San Francisco,21.3,14.4,5,congestion,none,30.0
80,W,FR,494,0.174,San Jose,25.9,8.8,1,accident,high,52.7
101,N,FR,44,0.042,San Jose,24.5,9.0,5,none,high,34.3
80,E,ML,283,0.044,San Francisco,19.8,12.6,5,congestion,none,13.3
680,N,OR,107,0.258,San Francisco,13.3,4.4,2,congestion,low,41.5
101,S,FR,335,0.103,San Francisco,17.4,15.8,2,congestion,low,64.2
80,N,ML,280,0.216,Fremont,18.5,19.8,4,none,low,52.5
80,S,OR,351,0.105,Fremont,15.3,8.6,0,congestion,high,54.5
80,N,OR,450,0.025,Fremont,19.5,7.4,5,none,medium,14.2
80,W,HOV,79,0.026,San Francisco,25.5,18.8,4,roadwork,medium,27.7
880,S,FR,166,0.183,Oakland,27.7,15.8,0,roadwork,none,36.2
880,N,FR,275,0.151,San Jose,14.9,17.6,1,none,none,36.7
101,N,FR,57,0.186,Fremont,15.2,0.4,4,roadwork,none,71.1
680,W,HOV,261,0.126,Fremont,28.2,7.7,3,roadwork,low,52.9
80,W,FR,99,0.283,Oakland,16.1,16.4,5,roadwork,low,73.2
101,N,ML,129,0.036,San Jose,18.8,6.1,0,accident,low,42.9
280,E,ML,406,0.039,San Jose,12.6,1.9,5,accident,high,60.0
680,S,FR,474,0.012,Fremont,28.1,12.6,4,congestion,none,15.3
80,N,FR,273,0.231,Fremont,29.8,0.1,3,congestion,high,24.1
680,W,HOV,365,0.163,San Francisco,18.2,17.5,0,roadwork,none,62.6
280,E,HOV,445,0.249,San Francisco,11.1,12.4,3,congestion,high,19.8
80,N,HOV,178,0.174,San Francisco,23.1,3.7,5,congestion,none,12.4
280,S,FR,413,0.169,Oakland,10.8,10.5,0,congestion,none,57.2
680,E,HOV,430,0.011,San Jose,22.2,20.0,3,roadwork,none,49.4
680,E,OR,352,0.03,San Francisco,20.8,6.3,1,none,medium,52.6
280,W,ML,403,0.108,San Jose,13.2,4.7,5,roadwork,low,28.7
880,S,ML,479,0.145,Oakland,28.8,12.5,2,none,high,52.5
80,W,HOV,315,0.105,San Jose,29.2,0.7,5,congestion,medium,39.0
80,N,OR,51,0.062,Fremont,11.8,15.9,3,roadwork,none,50.1
680,E,FR,441,0.069,San Jose,16.4,17.8,5,none,medium,54.7
280,S,HOV,29,0.273,Fremont,19.0,13.3,5,congestion,medium,44.9
280,S,ML,365,0.135,Oakland,21.1,5.0,4,accident,none,67.2
680,E,FR,311,0.043,San Francisco,13.2,7.1,4,none,low,27.6
880,E,HOV,240,0.042,San Jose,23.9,14.7,3,congestion,low,56.6
101,W,ML,212,0.138,San Francisco,16.9,16.7,2,none,medium,33.7
880,W,OR,495,0.3,San Jose,23.5,10.2,1,none,low,29.2
101,S,HOV,56,0.229,San Francisco,26.4,0.7,5,accident,none,62.6
880,N,FR,234,0.031,Fremont,14.8,19.4,3,roadwork,medium,42.9
101,S,FR,122,0.215,San Francisco,14.2,11.1,2,roadwork,none,35.1
101,W,ML,271,0.026,San Jose,15.0,11.4,5,roadwork,none,43.8
880,E,HOV,338,0.024,San Jose,18.1,10.9,4,accident,medium,42.1
680,E,HOV,58,0.018,Oakland,17.6,19.9,3,congestion,low,39.3
101,N,HOV,128,0.127,San Jose,17.7,7.9,0,congestion,high,23.2
80,E,HOV,177,0.044,San Jose,27.1,6.3,3,roadwork,medium,10.6
80,W,OR,47,0.057,San Francisco,15.7,13.3,0,none,none,56.1
101,S,OR,233,0.226,Fremont,12.9,16.3,1,accident,medium,15.1
880,W,ML,490,0.14,San Jose,12.6,11.0,3,accident,high,57.2
880,N,FR,370,0.126,Oakland,24.5,18.5,1,accident,low,61.1
101,W,FR,147,0.114,Fremont,19.3,4.3,3,none,none,25.4
880,W,ML,122,0.092,Oakland,16.6,19.0,0,congestion,none,30.4
280,S,OR,227,0.075,San Francisco,25.5,15.0,1,roadwork,none,66.0
880,S,FR,251,0.034,San Francisco,21.2,15.3,5,roadwork,high,63.1
880,W,HOV,279,0.082,Oakland,21.2,16.3,0,congestion,high,64.1
680,E,ML,220,0.254,Oakland,25.9,0.8,4,congestion,high,51.6
280,E,ML,74,0.127,San Francisco,14.3,7.9,4,none,none,38.6
280,E,ML,176,0.093,Oakland,27.2,12.4,2,none,medium,52.2
80,E,HOV,47,0.086,San Jose,27.1,6.2,3,none,high,12.8
80,E,OR,79,0.017,San Jose,11.5,10.6,1,congestion,high,44.1
880,S,OR,141,0.169,Fremont,14.7,0.1,2,accident,high,62.4
880,E,HOV,352,0.113,San Jose,10.0,19.6,1,accident,medium,50.9
101,N,HOV,141,0.133,San Francisco,15.6,9.1,2,accident,none,66.0
680,W,HOV,136,0.111,San Jose,20.6,2.8,1,roadwork,low,64.1
880,N,ML,55,0.295,San Francisco,14.5,16.2,3,accident,medium,20.5
880,E,FR,497,0.06,Oakland,24.6,0.0,0,accident,low,46.6
880,N,OR,245,0.271,San Jose,22.9,1.6,4,roadwork,high,67.7
880,E,HOV,496,0.22,San Francisco,17.1,12.6,1,congestion,none,19.7
280,W,ML,255,0.18,San Jose,23.3,11.8,1,roadwork,none,73.7
280,N,ML,394,0.065,Fremont,12.2,16.2,5,accident,low,23.7
80,N,ML,94,0.186,San Jose,29.5,11.0,1,none,none,68.7
880,W,FR,371,0.109,San Jose,27.2,15.2,5,roadwork,medium,43.6
280,E,HOV,153,0.122,Fremont,15.9,10.3,4,accident,none,26.8
680,W,ML,269,0.036,Fremont,21.6,8.2,4,roadwork,medium,37.1
880,E,FR,254,0.215,Oakland,18.2,17.1,4,roadwork,high,42.9
880,N,HOV,331,0.258,Oakland,13.9,13.3,3,none,medium,25.0
280,W,ML,133,0.169,Fremont,25.8,19.3,3,accident,low,29.3
680,E,ML,323,0.067,Fremont,19.4,18.6,1,accident,low,21.7
80,W,FR,39,0.17,San Francisco,25.4,11.5,2,none,none,50.8
880,N,OR,126,0.155,San Francisco,12.6,9.7,4,none,medium,50.9
80,W,ML,212,0.161,Oakland,26.3,12.1,2,none,none,60.3
80,W,HOV,261,0.287,Oakland,11.4,15.4,2,accident,low,45.7
101,W,OR,65,0.063,Oakland,14.4,19.1,4,accident,none,45.9
880,W,OR,29,0.241,Oakland,17.4,7.8,1,roadwork,high,27.9
80,W,ML,275,0.145,Fremont,12.9,4.5,1,none,high,44.8
680,E,OR,46,0.117,Oakland,17.7,10.2,0,accident,low,34.4
680,W,HOV,377,0.144,Fremont,13.4,10.7,1,accident,none,37.9
101,S,ML,317,0.293,San Francisco,14.7,12.0,1,congestion,medium,41.0
880,W,HOV,346,0.244,Oakland,21.9,10.7,3,roadwork,medium,45.9
280,N,OR,429,0.011,San Francisco,16.6,17.1,4,roadwork,none,24.0
101,E,ML,44,0.125,Oakland,27.8,5.8,5,accident,medium,28.2
101,E,OR,216,0.123,San Jose,25.6,3.2,4,congestion,low,28.7
101,W,OR,15,0.263,Oakland,11.8,4.8,3,none,high,32.6
680,E,HOV,319,0.297,Fremont,27.7,14.1,0,none,medium,37.9
80,E,OR,356,0.272,Fremont,27.1,1.8,1,congestion,medium,44.5
680,E,HOV,313,0.291,San Jose,24.1,14.9,0,accident,high,20.3
880,S,OR,292,0.129,Oakland,23.1,14.1,5,roadwork,high,47.2
680,W,HOV,282,0.214,Fremont,19.5,11.2,4,none,none,32.8
680,N,OR,27,0.299,San Francisco,22.5,19.8,4,none,medium,47.1
101,E,OR,196,0.211,San Jose,11.9,15.1,3,congestion,low,18.0
280,S,ML,347,0.022,San Jose,15.8,14.1,2,accident,medium,51.4
80,S,HOV,336,0.235,Fremont,18.6,15.2,2,accident,medium,16.4
880,N,ML,351,0.127,San Francisco,14.8,0.5,4,accident,none,57.2
680,N,OR,496,0.037,San Jose,20.7,15.4,5,congestion,high,60.6
880,S,ML,457,0.012,Oakland,29.9,15.8,2,none,none,26.2
880,N,FR,44,0.068,Oakland,29.2,2.5,5,accident,high,71.7
101,E,HOV,270,0.176,Oakland,14.4,18.3,2,accident,none,39.1
80,S,OR,199,0.262,Oakland,12.9,1.6,3,accident,medium,31.2
680,W,FR,336,0.062,Fremont,20.4,9.2,2,none,medium,73.2
80,W,OR,302,0.109,San Jose,13.2,13.6,5,roadwork,high,16.8
880,W,OR,68,0.225,San Francisco,10.8,14.8,1,roadwork,none,57.5
880,E,ML,410,0.212,Fremont,15.8,16.8,5,congestion,low,65.5
101,N,HOV,56,0.109,San Francisco,21.7,11.6,5,accident,medium,13.3
80,S,OR,442,0.168,San Jose,18.6,12.4,4,roadwork,none,11.5
101,S,HOV,18,0.05,Oakland,21.1,11.8,5,congestion,high,72.4
680,E,HOV,409,0.205,Oakland,27.8,15.6,1,accident,none,49.3
280,N,FR,451,0.24,San Francisco,29.4,12.1,1,accident,low,55.3
101,E,ML,264,0.14,Oakland,16.9,11.3,3,congestion,medium,23.9
280,N,OR,457,0.28,San Francisco,13.5,13.4,3,none,high,69.8
280,N,ML,44,0.28,Fremont,23.9,6.8,0,roadwork,high,51.9
680,E,ML,426,0.226,Oakland,27.4,10.1,4,congestion,low,27.5
280,E,FR,156,0.184,San Jose,14.9,8.2,4,accident,medium,48.1
280,E,ML,192,0.251,Fremont,27.8,10.6,0,roadwork,medium,42.9
80,N,FR,165,0.013,San Francisco,15.7,1.6,4,roadwork,medium,46.1
280,W,OR,397,0.281,Fremont,10.1,10.3,3,accident,none,10.3
280,W,OR,34,0.213,Fremont,30.0,3.4,4,congestion,high,62.9
80,N,ML,433,0.237,Oakland,18.4,17.2,0,roadwork,medium,29.5
80,W,ML,29,0.161,San Francisco,13.6,12.6,4,accident,medium,49.5
880,S,ML,153,0.074,Oakland,29.1,12.9,2,accident,low,51.7
280,N,HOV,389,0.214,Oakland,28.3,13.8,5,roadwork,medium,38.6
101,N,ML,442,0.134,Oakland,13.9,10.7,4,roadwork,none,72.4
880,S,ML,86,0.161,Fremont,22.7,12.5,2,accident,none,26.9
280,E,FR,317,0.016,Fremont,22.0,9.4,1,roadwork,low,44.4
101,W,FR,390,0.293,Fremont,27.6,12.8,4,accident,none,29.5
880,S,ML,320,0.281,San Francisco,28.7,8.2,0,roadwork,none,37.2
680,W,OR,152,0.057,Oakland,11.6,13.8,3,accident,medium,32.8
101,W,HOV,210,0.225,Fremont,24.5,15.2,3,roadwork,medium,45.3
101,W,ML,409,0.011,Oakland,21.0,13.2,0,congestion,low,63.4
80,N,HOV,262,0.115,San Francisco,25.0,0.2,5,none,none,37.9
80,W,FR,469,0.277,San Jose,29.7,16.9,3,roadwork,medium,34.1
101,W,FR,496,0.096,San Francisco,15.7,10.6,2,accident,high,63.5
80,N,OR,429,0.225,Oakland,24.8,14.5,2,roadwork,none,14.1
101,N,OR,223,0.257,Fremont,12.9,15.7,4,congestion,medium,60.9
101,W,HOV,267,0.292,San Francisco,22.4,4.6,2,none,none,36.3
101,E,FR,197,0.168,San Francisco,14.4,8.9,5,accident,high,38.8
101,N,ML,401,0.193,Oakland,18.8,18.1,2,roadwork,high,53.1
101,W,HOV,217,0.23,San Francisco,11.8,5.6,3,none,none,60.4
101,W,HOV,228,0.136,San Francisco,20.7,2.5,4,roadwork,low,47.9
80,W,FR,82,0.283,San Jose,15.1,15.3,1,accident,medium,45.0
680,N,OR,259,0.204,Fremont,28.4,0.3,0,accident,medium,59.4
101,S,ML,171,0.032,San Francisco,27.9,6.9,0,congestion,none,50.5
880,W,OR,489,0.087,San Jose,16.2,9.1,0,accident,medium,59.0
680,E,OR,277,0.198,San Francisco,22.7,14.9,5,accident,medium,50.0
680,E,ML,388,0.258,Oakland,21.9,12.1,1,roadwork,low,31.6
280,N,FR,436,0.287,Fremont,11.5,16.5,4,congestion,none,71.7
280,W,ML,365,0.219,San Jose,11.5,9.8,2,roadwork,medium,48.7
280,N,OR,171,0.142,San Francisco,17.8,15.1,0,accident,medium,51.8
680,N,ML,134,0.07,Fremont,15.4,2.9,2,none,high,34.3
880,N,ML,50,0.211,San Jose,18.3,8.4,1,roadwork,high,27.1
80,N,FR,394,0.251,Oakland,28.0,14.1,3,accident,high,21.8
680,W,FR,315,0.299,San Francisco,27.2,3.7,2,roadwork,medium,44.5
680,W,ML,319,0.216,San Francisco,13.8,17.8,1,accident,none,20.2
101,S,FR,288,0.043,San Francisco,19.8,3.1,5,none,high,26.1
680,N,OR,168,0.281,San Jose,25.6,4.9,5,congestion,low,38.7
680,W,HOV,123,0.15,Oakland,25.6,4.2,0,none,none,64.0
880,N,HOV,159,0.183,San Jose,12.2,9.7,1,accident,none,66.2
80,S,HOV,258,0.082,Oakland,26.8,11.5,5,accident,none,30.4
101,N,ML,185,0.225,San Francisco,14.7,10.2,4,congestion,none,12.8
101,E,OR,83,0.144,Fremont,23.6,6.2,5,accident,medium,67.6
80,W,ML,292,0.14,San Francisco,24.0,16.1,2,roadwork,medium,20.1
680,E,FR,323,0.191,Fremont,12.0,10.7,4,none,high,70.6
880,W,OR,118,0.126,San Francisco,27.2,0.2,2,none,none,67.0
880,N,OR,93,0.256,Oakland,26.1,11.9,4,roadwork,none,72.9
880,W,OR,140,0.029,San Jose,12.9,11.7,2,congestion,medium,43.3
101,W,HOV,492,0.072,San Jose,19.6,12.5,3,accident,medium,10.3
280,E,OR,162,0.255,San Francisco,18.2,9.5,4,roadwork,none,18.4
101,N,ML,50,0.175,Fremont,21.1,12.4,5,none,none,16.9
280,N,ML,365,0.111,San Francisco,12.9,7.2,2,accident,none,63.1
101,S,OR,407,0.179,San Francisco,15.6,0.6,5,congestion,low,16.7
280,N,OR,152,0.234,San Jose,16.3,9.7,4,roadwork,low,73.8
101,E,FR,401,0.106,Fremont,13.0,5.6,4,roadwork,none,59.9
880,E,ML,349,0.119,San Francisco,17.1,7.6,3,roadwork,high,57.9
680,S,ML,354,0.253,Oakland,18.2,1.6,4,accident,none,25.6
680,W,ML,488,0.151,San Jose,10.8,7.2,3,accident,high,65.7
280,S,HOV,24,0.02,San Jose,25.7,15.5,0,accident,low,28.5
280,S,FR,366,0.3,San Francisco,24.3,16.7,2,accident,medium,61.7
280,E,ML,269,0.285,San Jose,10.3,2.4,4,roadwork,low,57.9
880,N,HOV,91,0.185,Fremont,17.8,2.7,3,congestion,none,25.1
680,W,FR,166,0.048,Oakland,19.1,2.6,4,none,low,23.3
101,W,ML,380,0.278,San Francisco,16.7,15.1,4,roadwork,none,47.1
280,E,HOV,77,0.036,San Jose,20.8,17.2,0,none,low,63.2
680,W,HOV,146,0.065,San Francisco,15.8,16.9,1,none,none,64.9
680,N,ML,342,0.239,San Jose,27.8,5.3,0,none,none,72.0
680,E,ML,206,0.185,Fremont,16.3,4.9,2,none,high,50.8
880,W,ML,230,0.152,San Jose,19.4,3.0,3,congestion,none,12.5
880,W,ML,152,0.142,Fremont,22.7,13.0,4,accident,medium,57.1
80,S,OR,366,0.209,San Jose,12.5,2.0,2,none,low,23.8
680,W,ML,329,0.077,Fremont,14.8,16.8,4,none,none,53.3
101,W,OR,195,0.257,Oakland,10.6,16.8,4,roadwork,low,48.2
680,N,ML,229,0.026,San Francisco,26.2,5.4,0,congestion,high,49.8
101,N,OR,47,0.075,San Francisco,29.9,15.2,4,roadwork,low,67.1
680,W,OR,306,0.184,Fremont,21.7,10.4,0,none,high,64.3
680,W,FR,300,0.119,San Jose,28.0,16.8,4,none,none,49.6
80,N,OR,168,0.128,San Francisco,24.7,16.1,5,accident,none,62.2
880,E,HOV,366,0.123,San Jose,11.5,0.4,3,congestion,low,26.2
680,E,OR,259,0.197,San Francisco,15.6,3.8,3,congestion,high,16.2
280,S,HOV,75,0.218,Oakland,22.4,10.3,2,none,high,55.4
101,S,HOV,371,0.269,Fremont,18.9,2.3,1,roadwork,medium,53.8
280,S,ML,441,0.02,San Francisco,20.3,5.3,1,none,high,10.0
280,W,FR,205,0.186,Oakland,23.1,2.2,1,none,low,32.3
80,S,FR,323,0.23,Oakland,28.4,8.3,1,congestion,medium,30.6
101,N,ML,209,0.094,San Francisco,22.2,11.1,4,congestion,medium,44.8
880,N,HOV,438,0.271,San Jose,18.8,5.3,0,none,low,56.4
101,N,FR,36,0.018,Oakland,18.2,10.3,3,accident,low,47.8
280,W,FR,283,0.08,Oakland,25.0,16.9,3,accident,none,35.0
880,N,ML,197,0.086,Fremont,26.4,19.3,5,congestion,low,49.0
280,S,HOV,270,0.02,San Jose,27.8,2.6,1,accident,medium,73.2
280,E,FR,485,0.233,Fremont,25.6,3.7,3,none,high,35.8
880,W,ML,405,0.179,Fremont,10.9,19.0,2,accident,none,38.7
101,N,ML,208,0.055,Oakland,12.7,1.7,4,accident,low,44.1
101,E,HOV,232,0.212,San Jose,17.2,15.8,3,roadwork,none,26.5
101,W,ML,220,0.111,San Francisco,21.6,14.4,5,roadwork,none,48.3
680,N,OR,370,0.155,San Jose,29.6,8.8,1,roadwork,none,72.4
280,E,HOV,180,0.096,Fremont,17.6,5.5,3,accident,medium,65.7
80,S,OR,286,0.072,San Jose,14.6,15.7,4,roadwork,high,31.8
680,N,FR,225,0.053,San Jose,15.1,11.6,3,congestion,low,34.5
280,E,OR,22,0.118,San Francisco,11.3,13.8,1,congestion,low,22.6
880,E,HOV,373,0.055,Fremont,17.1,8.4,1,congestion,none,30.7
101,W,ML,346,0.186,Fremont,11.8,15.4,2,accident,medium,72.8
880,E,ML,389,0.11,Oakland,20.3,6.7,2,accident,none,74.4
880,E,HOV,259,0.169,San Francisco,17.8,10.7,4,accident,medium,51.3
280,E,OR,491,0.261,San Francisco,25.0,16.9,2,congestion,high,59.8
80,S,OR,36,0.174,San Francisco,23.1,4.3,0,congestion,none,41.8
680,W,ML,178,0.097,San Francisco,11.8,17.5,2,accident,none,13.4
880,W,HOV,160,0.058,Oakland,10.3,12.3,3,accident,none,41.0
680,E,OR,277,0.116,San Francisco,28.2,8.5,3,accident,high,42.0
80,E,FR,450,0.13,San Francisco,17.3,16.1,1,roadwork,none,25.2
80,E,ML,500,0.027,San Jose,26.0,8.5,0,none,high,69.6
680,S,HOV,477,0.199,Oakland,29.8,1.0,5,congestion,none,30.0
101,W,HOV,396,0.054,San Francisco,21.7,10.8,5,congestion,low,20.2
680,S,HOV,200,0.034,Fremont,17.4,1.5,1,none,none,29.0
880,E,OR,220,0.282,Fremont,17.9,2.7,4,accident,none,10.4
880,E,ML,312,0.214,Oakland,18.0,11.5,1,accident,low,23.9
880,S,FR,69,0.018,Oakland,18.2,15.1,2,roadwork,medium,40.7
101,W,FR,85,0.299,Oakland,26.5,5.4,3,accident,medium,45.9
880,W,OR,184,0.097,Oakland,13.8,5.5,1,none,low,23.7
80,S,OR,255,0.208,Oakland,22.9,13.0,4,congestion,high,57.2
880,N,ML,389,0.017,Fremont,18.8,2.6,1,none,medium,21.4
680,W,HOV,189,0.156,San Francisco,26.2,10.0,2,accident,none,38.5
280,N,HOV,36,0.089,Fremont,11.8,14.8,0,accident,low,28.3
680,N,OR,273,0.049,Fremont,24.1,6.3,2,roadwork,high,38.3
680,N,ML,283,0.1,San Francisco,28.1,8.4,1,none,medium,73.7
680,W,HOV,272,0.089,San Francisco,20.0,0.7,3,accident,low,64.3
101,N,ML,417,0.246,Oakland,22.5,15.6,1,none,low,53.2
280,E,OR,493,0.246,San Francisco,27.3,19.5,1,roadwork,low,40.7
280,E,HOV,59,0.033,Fremont,13.2,5.9,1,roadwork,high,22.1
280,W,FR,40,0.294,Oakland,14.9,11.5,4,congestion,high,34.8
80,W,OR,253,0.213,San Jose,25.6,8.1,2,congestion,none,65.7
880,N,HOV,45,0.102,Fremont,15.2,14.4,0,congestion,high,57.5
101,N,OR,304,0.166,San Jose,21.0,16.3,3,accident,high,47.9
880,W,ML,188,0.25,San Francisco,18.1,15.7,0,accident,none,45.4
101,N,FR,225,0.224,Oakland,13.0,15.0,4,congestion,none,58.6
101,S,HOV,273,0.154,Fremont,25.3,14.6,0,roadwork,low,38.5
101,E,FR,379,0.19,San Francisco,16.9,16.0,3,accident,medium,23.4
680,S,ML,57,0.286,San Francisco,27.4,6.1,2,accident,none,38.2
880,S,ML,242,0.061,Oakland,17.7,18.4,5,accident,medium,17.4
680,W,OR,430,0.102,San Jose,26.1,5.9,0,none,high,29.0
280,W,OR,25,0.106,San Jose,23.8,17.2,4,congestion,high,48.7
680,E,HOV,61,0.124,Fremont,18.2,16.7,0,congestion,none,70.9
101,E,FR,449,0.254,San Francisco,28.1,3.4,4,congestion,medium,53.2
680,W,OR,45,0.118,Fremont,17.6,17.7,0,congestion,none,10.5
80,E,OR,12,0.297,San Jose,20.3,5.9,1,none,medium,18.9
880,E,ML,168,0.293,Oakland,25.0,8.9,0,congestion,low,38.1
880,E,HOV,121,0.277,Oakland,14.3,16.5,2,none,low,60.3
101,E,OR,44,0.219,San Francisco,19.8,6.2,0,roadwork,low,59.1
